id,keywords,date,nbComments,nbView,nbStars,nbVotes,source
25607,Damien Viguier;France;International;Justice & Droit;Politique;Syrie,2014-05-27 00:00:00,8,4304,5,31,undefined
25713,Économie;Médias;Politique;Société,2014-05-31 00:00:00,103,81616,5,652,undefined
25741,Gilad Atzmon;Communautés;Israël;Judaïsme;Politique,2014-06-01 00:00:00,10,12213,5,113,undefined
26787,Rédaction E&R;Communautés;François Hollande;Humour;Manuel Valls;Politique,2014-07-21 00:00:00,18,16352,5,122,undefined
26191,Rédaction E&R;Allemagne;États-Unis;Ex-Urss;Histoire;International;Seconde Guerre mondiale,2014-06-22 00:00:00,49,23810,5,79,undefined
26796,Rédaction E&R;International;Israël;Judaïsme;Médias;Palestine;Sionisme,2014-07-21 00:00:00,58,52330,3,207,undefined
27268,Rédaction E&R;France;Justice & Droit,2014-08-15 00:00:00,13,10569,5,98,E&R
26549,Argentine;Histoire;Iran;Israël,2014-07-09 00:00:00,13,17766,5,110,undefined
25004,Humour;Médias;Politique,2014-04-29 00:00:00,15,30839,5,123,undefined
26485,Arabie saoudite;Énergie;États-Unis;Géopolitique;International;Israël,2014-07-06 00:00:00,24,11550,5,87,presstv.ir
25056,France;François Hollande;Immigration;International;Justice & Droit;Kosovo;LRPS;Manuel Valls;Politique,2014-05-01 00:00:00,139,41982,4,141,undefined
26888,Rédaction E&R;Désinformation;France;Médias;Politique,2014-07-25 00:00:00,40,13650,5,104,undefined
26501,Humour;Politique;Société,2014-07-06 00:00:00,29,42916,5,245,undefined
27204,Rédaction E&R;BHL;International;Mondialisme;Ukraine;Union européenne,2014-08-11 00:00:00,39,20675,4,92,undefined
26962,Rédaction E&R;Banlieues;Extrême gauche;France;Immigration;Islam;Palestine;Politique,2014-07-28 00:00:00,90,52650,3,247,undefined
25029,France;François Hollande;Médias;Politique;Social;Société,2014-04-30 00:00:00,109,78156,5,501,undefined
26039,Judaïsme;Justice & Droit;Suisse,2014-06-15 00:00:00,37,14064,5,48,undefined
25068,Gilad Atzmon;États-Unis;Féminisme;Front national;International;Israël;Judaïsme;LRPS;Manuel Valls;Palestine;Politique;Religion;Sionisme;Syrie;Turquie,2014-05-02 00:00:00,17,12857,5,79,undefined
25528,Rédaction E&R;Communautés;Dieudonné;États-Unis;France;Histoire;International;Judaïsme;Seconde Guerre mondiale,2014-06-03 00:00:00,29,34323,5,203,undefined
25888,Rédaction E&R;Communautés;France;Front national;JMLP;Justice & Droit;Médias;Politique,2014-06-08 00:00:00,358,82456,5,562,undefined
